species	rundate	headid	collection.date	population	position	Bdeadflowers	Bsingleseeds	Bsinglepappi	Bpappusseed	Beggcases	Ddeadflowers	Dsingleseeds	Dsinglepappi	Dpappusseed	Deggcases	Dtseeds	dissector	dissect.date	diameter 	intact.seeds	seed.id	plength	pwidth	drop.time	unattached.seeds 	cysts	stuck.seeds 	Aeggcases	Tseeds	Teggcases	seed.mass
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	1	16.6	24.9	2.15	55	1	0	0	217	0	0.0018
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	2	15.3	21.9	2.48	55	1	0	0	217	0	0.0011
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	3	15.5	24.2	2.28	55	1	0	0	217	0	0.0021
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	4	15.3	24.9	2.21	55	1	0	0	217	0	0.0018
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	5	16.6	27.7	1.97	55	1	0	0	217	0	0.0022
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	6	16.8	23.5	2.22	55	1	0	0	217	0	0.0015
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	7	15.8	24.2	1.87	55	1	0	0	217	0	0.0024
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	8	15.9	24	2.15	55	1	0	0	217	0	0.002
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	9	16.5	26	2.54	55	1	0	0	217	0	0.0017
n	7/19/2007	4	7/15/2007	C	500	125	70	74	37	0	33	19	21	9	0	28	Rick.Pongrance	39470	31	27	10	16.9	22.4	2.16	55	1	0	0	217	0	0.0012
n	7/19/2007	5	7/15/2007	C	300	0	0	0	0	0	2	0	0	0	0	0	Rick.Pongrance	39470	29.4	148	1	19.4	22.9	2.13	2	0	0	0	150	0	0.0021
n	7/19/2007	5	7/15/2007	C	300	0	0	0	0	0	2	0	0	0	0	0	Rick.Pongrance	39470	29.4	148	3	22	30.6	3.06	2	0	0	0	150	0	0.0024
n	7/19/2007	5	7/15/2007	C	300	0	0	0	0	0	2	0	0	0	0	0	Rick.Pongrance	39470	29.4	148	5	21.1	36.1	3.86	2	0	0	0	150	0	0.0023
n	7/19/2007	5	7/15/2007	C	300	0	0	0	0	0	2	0	0	0	0	0	Rick.Pongrance	39470	29.4	148	6	21.4	36.3	4.14	2	0	0	0	150	0	0.0023
n	7/19/2007	5	7/15/2007	C	300	0	0	0	0	0	2	0	0	0	0	0	Rick.Pongrance	39470	29.4	148	7	23	41.5	4.2	2	0	0	0	150	0	0.0024
n	7/19/2007	5	7/15/2007	C	300	0	0	0	0	0	2	0	0	0	0	0	Rick.Pongrance	39470	29.4	148	8	22.7	40.4	4.28	2	0	0	0	150	0	0.0022
n	7/19/2007	5	7/15/2007	C	300	0	0	0	0	0	2	0	0	0	0	0	Rick.Pongrance	39470	29.4	148	9	23.8	32.5	3.29	2	0	0	0	150	0	0.0021
n	7/19/2007	5	7/15/2007	C	300	0	0	0	0	0	2	0	0	0	0	0	Rick.Pongrance	39470	29.4	148	10	19	21	2.2	2	0	0	0	150	0	0.0014
n	7/19/2007	6	7/15/2007	C	320	221	207	205	30	0	37	25	26	1	0	26	Caitlin.Sullivan	3/5/2008	35.5	8	1	19.2	27.6	2.7	10	0	19	1	300	1	0.0016
n	7/19/2007	6	7/15/2007	C	320	221	207	205	30	0	37	25	26	1	0	26	Caitlin.Sullivan	3/5/2008	35.5	8	2	19.3	30.6	3	10	0	19	1	300	1	0.0026
n	7/19/2007	6	7/15/2007	C	320	221	207	205	30	0	37	25	26	1	0	26	Caitlin.Sullivan	3/5/2008	35.5	8	3	18.7	30	2.06	10	0	19	1	300	1	0.0024
n	7/19/2007	6	7/15/2007	C	320	221	207	205	30	0	37	25	26	1	0	26	Caitlin.Sullivan	3/5/2008	35.5	8	4	19.3	35.5	3.86	10	0	19	1	300	1	0.0012
n	7/19/2007	6	7/15/2007	C	320	221	207	205	30	0	37	25	26	1	0	26	Caitlin.Sullivan	3/5/2008	35.5	8	5	20.4	35.2	2.73	10	0	19	1	300	1	0.0029
n	7/19/2007	6	7/15/2007	C	320	221	207	205	30	0	37	25	26	1	0	26	Caitlin.Sullivan	3/5/2008	35.5	8	6	18	29.8	2.8	10	0	19	1	300	1	0.0025
n	7/19/2007	6	7/15/2007	C	320	221	207	205	30	0	37	25	26	1	0	26	Caitlin.Sullivan	3/5/2008	35.5	8	7	18.4	31	2.42	10	0	19	1	300	1	0.0027
n	7/19/2007	6	7/15/2007	C	320	221	207	205	30	0	37	25	26	1	0	26	Caitlin.Sullivan	3/5/2008	35.5	8	8	21	33.1	2.65	10	0	19	1	300	1	0.0026
n	7/19/2007	7	7/15/2007	C	300	196	192	186	2	0	19	14	15	2	0	16	Caitlin.Sullivan	3/25/2008	31.9	2	1	17.1	29.5	1.8	7	0	3	2	222	2	0.002
n	7/19/2007	7	7/15/2007	C	300	196	192	186	2	0	19	14	15	2	0	16	Caitlin.Sullivan	3/25/2008	31.9	2	2	16.9	29.8	1.8	7	0	3	2	222	2	0.0017
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	1	21.8	24.8	2.58	21	0	8	1	178	1	0.0019
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	2	18.2	24.7	2.51	21	0	8	1	178	1	0.0019
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	3	22.9	26.8	2.78	21	0	8	1	178	1	0.002
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	4	25.6	39.6	4.21	21	0	8	1	178	1	0.0021
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	5	24.2	37.5	4	21	0	8	1	178	1	0.0021
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	6	22.8	28.5	3.06	21	0	8	1	178	1	0.0022
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	7	21.1	26.9	2.68	21	0	8	1	178	1	0.0021
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	8	23	34.5	3.63	21	0	8	1	178	1	0.0021
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	9	23.5	31.2	3.3	21	0	8	1	178	1	0.002
n	7/19/2007	8	7/15/2007	C	410	1	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	34.6	149	10	24	28.8	2.33	21	0	8	1	178	1	0.0017
n	7/19/2007	9	7/15/2007	C	320	136	108	109	3	0	21	28	29	0	0	28	Caitlin.Sullivan	3/6/2008	33.4	4	1	21	39.5	3.92	20	0	13	1	176	1	0.0021
n	7/19/2007	9	7/15/2007	C	320	136	108	109	3	0	21	28	29	0	0	28	Caitlin.Sullivan	3/6/2008	33.4	4	2	21.2	35.2	3.44	20	0	13	1	176	1	0.0022
n	7/19/2007	9	7/15/2007	C	320	136	108	109	3	0	21	28	29	0	0	28	Caitlin.Sullivan	3/6/2008	33.4	4	3	21.1	37	3.97	20	0	13	1	176	1	0.002
n	7/19/2007	9	7/15/2007	C	320	136	108	109	3	0	21	28	29	0	0	28	Caitlin.Sullivan	3/6/2008	33.4	4	4	19.6	32.5	3.48	20	0	13	1	176	1	0.0022
n	7/19/2007	10	7/15/2007	C	100	2	0	0	0	0	3	0	0	0	0	0	Maggie.Wilkens	3/6/2008	38.1	0	NA	NA	NA	NA	14	9	14	21	28	21	NA
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	1	21.3	15.7	1.78	10	0	10	7	201	7	0.0017
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	2	18.5	16	1.92	10	0	10	7	201	7	0.0017
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	3	18.9	23	2.14	10	0	10	7	201	7	0.0022
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	4	22.3	17.2	1.89	10	0	10	7	201	7	0.0028
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	5	21	21	1.97	10	0	10	7	201	7	0.0018
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	6	20	17	1.81	10	0	10	7	201	7	0.0013
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	7	20.9	16.6	1.83	10	0	10	7	201	7	0.0016
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	8	19.9	16.8	1.96	10	0	10	7	201	7	0.0015
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	9	18.6	16.7	2.11	10	0	10	7	201	7	0.0012
n	7/19/2007	11	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/6/2008	33.7	181	10	20.1	19.1	2.03	10	0	10	7	201	7	0.0024
n	7/19/2007	12	7/15/2007	C	200	0	0	0	0	0	1	0	0	0	0	0	Rick.Pongrance	3/25/2008	28.3	2	1	16.5	22.6	2.29	0	0	0	2	2	2	0.0021
n	7/19/2007	12	7/15/2007	C	200	0	0	0	0	0	1	0	0	0	0	0	Rick.Pongrance	3/25/2008	28.3	2	2	21.4	18.8	2.18	0	0	0	2	2	2	0.0019
n	7/19/2007	13	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Rick.Pongrance	3/25/2008	37.5	2	1	17.3	14.6	1.76	1	11	0	3	3	3	0.0009
n	7/19/2007	13	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Rick.Pongrance	3/25/2008	37.5	2	2	17.5	12.6	1.6	1	11	0	3	3	3	0.0013
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	1	14.5	29.1	2.31	23	1	5	1	124	1	0.0028
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	2	15.1	31.3	2.32	23	1	5	1	124	1	0.0025
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	3	16.5	30	2.16	23	1	5	1	124	1	0.003
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	4	12.4	23.6	2.36	23	1	5	1	124	1	0.0029
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	5	11.6	17.9	1.92	23	1	5	1	124	1	0.0023
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	6	12.7	23.8	2.24	23	1	5	1	124	1	0.0019
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	7	11.2	17.6	1.75	23	1	5	1	124	1	0.0026
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	8	14.3	17.5	1.35	23	1	5	1	124	1	0.0028
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	9	14.3	21.6	2.11	23	1	5	1	124	1	0.0021
n	7/20/2007	14	7/15/2007	C	210	71	17	40	27	0	12	9	12	3	0	12	Rick.Pongrance	2/20/2008	30.8	40	10	14.6	17.8	1.28	23	1	5	1	124	1	0.0027
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	1	17.4	32.4	4.3	17	0	17	1	312	1	0.0009
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	2	17.9	32.7	4.37	17	0	17	1	312	1	0.0007
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	3	16.9	33.1	2.56	17	0	17	1	312	1	0.0022
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	4	18.2	32.2	2.18	17	0	17	1	312	1	0.0022
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	5	18.7	28.9	2.19	17	0	17	1	312	1	0.0022
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	6	16.1	30.8	2.9	17	0	17	1	312	1	0.0026
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	7	17.8	35.4	2.78	17	0	17	1	312	1	0.0023
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	8	16.2	33.9	2.74	17	0	17	1	312	1	0.0023
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	9	16.5	29.5	2.63	17	0	17	1	312	1	0.002
n	7/20/2007	15	7/15/2007	C	300	267	96	105	132	0	32	23	27	2	0	25	Maggie.Wilkens	3/27/2008	34.6	25	10	17.7	32.4	2.78	17	0	17	1	312	1	0.0026
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	1	20.3	19.4	2.41	32	0	2	1	398	1	0.0031
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	2	18.6	38.9	2.47	32	0	2	1	398	1	0.0036
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	3	18.1	25	1.88	32	0	2	1	398	1	0.0029
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	4	18.2	29.2	1.9	32	0	2	1	398	1	0.0028
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	5	14.2	26.5	1.76	32	0	2	1	398	1	0.0022
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	6	16.2	30.9	1.65	32	0	2	1	398	1	0.0029
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	7	15	26.4	1.81	32	0	2	1	398	1	0.0024
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	8	16.9	30.4	2	32	0	2	1	398	1	0.0033
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	9	15.2	26.8	2.19	32	0	2	1	398	1	0.003
n	7/20/2007	16	7/15/2007	C	500	323	216	225	94	0	42	31	29	5	0	36	Mason.Heberling	3/27/2008	42.6	18	10	17.3	31.6	2.8	32	0	2	1	398	1	0.0033
n	7/20/2007	17	7/15/2007	C	420	183	44	50	133	0	20	14	13	4	0	18	Brosi.Bradley	5/15/2008	34.2	9	1	17.1	32.1	2.13	17	0	11	3	232	3	0.0026
n	7/20/2007	17	7/15/2007	C	420	183	44	50	133	0	20	14	13	4	0	18	Brosi.Bradley	5/15/2008	34.2	9	2	17	27.5	2.44	17	0	11	3	232	3	0.0024
n	7/20/2007	17	7/15/2007	C	420	183	44	50	133	0	20	14	13	4	0	18	Brosi.Bradley	5/15/2008	34.2	9	3	18	33.1	2.435	17	0	11	3	232	3	0.0025
n	7/20/2007	17	7/15/2007	C	420	183	44	50	133	0	20	14	13	4	0	18	Brosi.Bradley	5/15/2008	34.2	9	4	15.9	29.9	2.62	17	0	11	3	232	3	0.0027
n	7/20/2007	17	7/15/2007	C	420	183	44	50	133	0	20	14	13	4	0	18	Brosi.Bradley	5/15/2008	34.2	9	5	18.6	32.9	2.5	17	0	11	3	232	3	0.0026
n	7/20/2007	17	7/15/2007	C	420	183	44	50	133	0	20	14	13	4	0	18	Brosi.Bradley	5/15/2008	34.2	9	6	18	35.6	2.605	17	0	11	3	232	3	0.0031
n	7/20/2007	17	7/15/2007	C	420	183	44	50	133	0	20	14	13	4	0	18	Brosi.Bradley	5/15/2008	34.2	9	7	17.5	33.3	2.62	17	0	11	3	232	3	0.0028
n	7/20/2007	17	7/15/2007	C	420	183	44	50	133	0	20	14	13	4	0	18	Brosi.Bradley	5/15/2008	34.2	9	8	18.8	35.6	2.58	17	0	11	3	232	3	0.0026
n	7/20/2007	17	7/15/2007	C	420	183	44	50	133	0	20	14	13	4	0	18	Brosi.Bradley	5/15/2008	34.2	9	9	16.4	31.6	2.3	17	0	11	3	232	3	0.0024
n	7/20/2007	18	7/15/2007	C	100	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	1/31/2008	37.3	0	NA	NA	NA	NA	0	10	0	8	0	8	NA
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	1	20.6	21.5	2.03	0	0	0	3	106	3	0.0023
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	2	20.8	22.6	2.09	0	0	0	3	106	3	0.0023
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	3	20.2	22.7	2.41	0	0	0	3	106	3	0.0022
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	4	21.4	33	3.62	0	0	0	3	106	3	0.0019
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	5	20.2	27.6	2.63	0	0	0	3	106	3	0.0018
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	6	19.8	16.5	1.72	0	0	0	3	106	3	0.0018
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	7	20.7	29.8	3.07	0	0	0	3	106	3	0.0018
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	8	20.5	19.4	1.67	0	0	0	3	106	3	0.0021
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	9	20	26.2	2.7	0	0	0	3	106	3	0.0023
n	7/20/2007	19	7/15/2007	C	420	0	0	0	0	0	4	0	0	2	0	2	Steph.Freed	10/26/2007	27.7	104	10	22.2	33.4	3.35	0	0	0	3	106	3	0.002
n	7/20/2007	20	7/15/2007	C	400	0	0	0	0	0	0	0	0	0	0	0	Catherine	1/31/2008	32.2	0	NA	NA	NA	NA	0	18	0	7	0	7	NA
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	1	11	22.5	3.16	10	0	1	0	95	0	0.0012
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	2	13	20.6	2.3	10	0	1	0	95	0	0.0021
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	3	15	20.6	1.92	10	0	1	0	95	0	0.0025
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	4	15	21	2.09	10	0	1	0	95	0	0.0014
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	5	12.6	17.8	2.21	10	0	1	0	95	0	0.001
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	6	14.5	13.8	1.78	10	0	1	0	95	0	0.0021
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	7	13	16.1	2.13	10	0	1	0	95	0	0.0009
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	8	14.8	18	2.38	10	0	1	0	95	0	0.0024
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	9	14.4	23.5	1.66	10	0	1	0	95	0	0.0022
n	7/20/2007	21	7/15/2007	C	200	77	27	40	21	0	12	8	8	2	0	10	Rick.Pongrance	4/22/2008	2.4	26	10	13.7	19.6	1.91	10	0	1	0	95	0	0.0018
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	1	18	30.3	3.1	11	0	0	1	125	1	0.0031
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	2	17.8	26.1	2.94	11	0	0	1	125	1	0.0025
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	3	18.8	26.4	3.14	11	0	0	1	125	1	0.0033
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	4	19.5	25.7	2.45	11	0	0	1	125	1	0.0034
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	5	18.3	28.5	3.33	11	0	0	1	125	1	0.0032
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	6	19	22.4	2.15	11	0	0	1	125	1	0.0033
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	7	19.1	28	3.03	11	0	0	1	125	1	0.0037
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	8	17.4	23.7	3.17	11	0	0	1	125	1	0.0029
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	9	19.6	28.1	3.32	11	0	0	1	125	1	0.0038
n	7/20/2007	22	7/15/2007	C	200	21	2	1	16	0	31	20	19	7	0	27	Caitlin.Sullivan	1/31/2008	25.3	69	10	16.1	32.4	2.88	11	0	0	1	125	1	0.0022
